Time,control_1,control_2,control_3,control_4
00:00:29.214377,0,0,0,0
00:00:29.219348,-0.00327092317257999,0.0069381531664239,-1.4724769614792e-05,0
00:00:29.224318,-0.00318903336438809,0.00679890367984926,-3.59442678238824e-05,0
00:00:29.229289,-0.00332207678395279,0.00708152784176494,-1.29247513503453e-05,0
00:00:29.234260,-0.00344539305464381,0.00700788563949761,-4.74059972084299e-05,0
00:00:29.239231,-0.00347649376126724,0.00695803342062234,-0.000133653863740023,0
00:00:29.244202,-0.00344986967101924,0.00695598901643117,-0.000172253632734223,0
00:00:29.249173,-0.00337135493897815,0.00688630163717577,-0.000108114602743787,0
00:00:29.254145,-0.00314791160256328,0.00686647403148776,-2.61472009577387e-05,0
00:00:29.259115,-0.00300003976877994,0.00707209175995271,-1.5068569797061e-05,0
00:00:29.264086,-0.00318595151650905,0.0071931201417221,-1.58889421591262e-05,0
00:00:29.269058,-0.00335325892733887,0.00702255236138975,-1.03618844119483e-05,0
00:00:29.274028,-0.0033412778436665,0.00701052511465134,-2.3631548027518e-05,0
00:00:29.279000,-0.00328688097058561,0.00697207023741973,-3.76368276851614e-05,0
00:00:29.283971,-0.00328275729330603,0.00708305648584771,-1.91547084374186e-05,0
00:00:29.288941,-0.00333239463929862,0.0071808406149206,7.44173763187525e-05,0
00:00:29.293913,-0.00353926805450903,0.00698801610452359,9.31434397296605e-05,0
00:00:29.298884,-0.00337588371503088,0.00690448075390628,0.000114913475028241,0
00:00:29.303860,-0.0033484313501569,0.00711729007384075,0.000130699486951298,0
00:00:29.308827,-0.00319790074068658,0.00700806700969274,5.79148464028338e-05,0
00:00:29.313797,-0.00320722478849311,0.00704387556995454,3.27631914288466e-05,0
00:00:29.318769,-0.00327219802614716,0.00712831728155374,5.22956341315696e-05,0
00:00:29.323740,-0.00328810684452587,0.00714331068461151,0.00010550381338179,0
00:00:29.328710,-0.00340811046556034,0.00718436129499965,0.000190179960472023,0
00:00:29.333682,-0.00350064635219397,0.00703539332950893,9.38000080407385e-05,0
00:00:29.338653,-0.00343624283197576,0.00712059526492021,1.7946406237678e-05,0
00:00:29.343623,-0.00330866132475339,0.00699933486721867,1.84936865941706e-05,0
